RMSD,Time 
4.4300003,0.3530542
4.4400001,0.3575976
4.4500003,0.3574692
4.46,0.3561562
4.4700003,0.3611073
4.48,0.3562012
4.4900002,0.3598439
4.5,0.3607685
4.5100002,0.3561354
4.52,0.3634376
4.5300002,0.3602202
4.5400004,0.3610064
4.5500002,0.3583207
4.5600004,0.3546169
4.5700002,0.3540319
4.5800004,0.3640316
4.5900002,0.357707
4.6000004,0.3579323
4.6100001,0.3628221
4.6200004,0.3622734
4.6300001,0.3569741
4.6400003,0.3532309
4.6500001,0.3629679
4.6600003,0.3566007
4.6700001,0.3623864
4.6800003,0.3645621
4.6900001,0.3559607
4.7000003,0.3624578
4.71,0.3540791
4.7200003,0.3558517
4.73,0.3623578
4.7400002,0.3621509
4.75,0.3618826
4.7600002,0.3567352
4.7700005,0.3595637
4.7800002,0.3589234
4.7900004,0.3537186
4.8000002,0.3584488
4.8100004,0.3570107
4.8200002,0.3577139
4.8300004,0.3516159
4.8400002,0.3589653
4.8500004,0.3552014
4.8600001,0.3605776
4.8700004,0.3590868
4.8800001,0.3586115
4.8900003,0.3542459
4.9000001,0.3543544
4.9100003,0.3630232
4.9200001,0.3565263
4.9300003,0.3541794
4.9400001,0.3513733
4.9500003,0.3603218
4.96,0.3604127
4.9700003,0.3582618
4.98,0.3572551
4.9900002,0.3564143
5,0.3610415
